id,name,publisher,studio,created
920,Optional,"Brakus, Beatty and Upton",Vandervort Group,2018-05-12T01:08:22Z
921,Implemented,Effertz Inc,"Franecki, Carter and Wolf",2012-09-01T17:53:32Z
922,Face to face,Altenwerth Inc,Miller and Sons,2003-10-11T04:40:23Z
923,collaboration,Lakin-VonRueden,O'Kon-Hintz,2005-01-24T21:44:37Z
924,next generation,Lakin-Lesch,Brakus Group,2015-05-11T10:25:27Z
925,Digitized,Bartell-Beier,"Simonis, Paucek and Glover",2000-09-25T09:14:13Z
926,Re-contextualized,"Cassin, Schmidt and Jakubowski",Rath-Koss,2014-10-07T05:40:30Z
927,Focused,"Renner, Treutel and Auer","Wiegand, Altenwerth and Cremin",2011-03-27T07:53:53Z
928,parallelism,"Runte, Considine and Pfeffer",Koepp-Lang,2008-07-15T09:25:52Z
929,attitude-oriented,Macejkovic-Thiel,"Stoltenberg, Robel and Pfeffer",2011-09-30T05:02:46Z
930,optimizing,"Fahey, Wolf and Mueller",Cole LLC,2020-04-02T08:04:35Z
931,definition,"Goldner, Lemke and Kreiger",Ebert-Fahey,2007-01-19T20:39:00Z
932,Universal,"Howell, Davis and Breitenberg","Halvorson, Monahan and Gleason",2003-07-25T03:28:11Z
933,Reverse-engineered,Dach-Farrell,"Kirlin, Koepp and Gorczany",2017-04-07T23:06:44Z
934,contextually-based,"Cassin, Ernser and Runte",Cremin-Bruen,2001-05-12T06:35:21Z
935,interactive,Kuhn-Purdy,Kilback Inc,2001-02-25T07:58:35Z
936,matrix,"Prosacco, Langworth and Beier",O'Reilly Inc,2000-12-03T01:30:05Z
937,real-time,D'Amore LLC,Schuppe-Koss,2001-07-22T02:11:51Z
938,flexibility,Kovacek Group,Carter-Fay,2015-05-14T12:03:26Z
939,info-mediaries,Paucek-Jast,Schoen-Cremin,2002-06-18T11:23:49Z
940,database,Huels and Sons,"Koch, Emmerich and Kilback",2011-11-02T02:23:05Z
941,access,Rolfson-Hintz,Yundt and Sons,2017-12-28T04:20:28Z
942,24/7,"Bosco, Maggio and Hudson","Kessler, MacGyver and Schultz",2004-06-10T15:29:57Z
943,asynchronous,Hartmann-Conn,Becker-Watsica,2008-09-14T15:29:05Z
944,Robust,Yost Group,Osinski and Sons,2006-09-09T12:27:40Z
945,neural-net,Rau LLC,Baumbach Group,2008-08-25T11:19:21Z
946,Triple-buffered,Wehner LLC,Lind and Sons,2004-01-29T14:12:01Z
947,value-added,Legros-Stroman,Gleichner-Feil,1999-06-29T14:08:54Z
948,moratorium,Kihn-Kihn,Morar-Johnson,2002-07-25T19:25:25Z
949,local area network,"Lindgren, Bins and Cummerata",Thompson LLC,2007-04-01T02:05:49Z
950,disintermediate,Ward-Krajcik,Grady Inc,2000-04-29T08:30:37Z
951,Cloned,Williamson LLC,"Grady, Muller and Emmerich",2014-03-31T03:57:04Z
952,Function-based,"Homenick, Streich and Pollich","Willms, Barrows and Zboncak",1999-03-26T12:44:58Z
953,application,Grant-Sipes,"Larson, Botsford and Funk",2001-10-02T11:27:20Z
954,local area network,"Kunze, Stamm and Cassin",Crist-Lind,2007-09-04T01:04:26Z
955,analyzing,Abernathy-Nikolaus,"Beahan, Kuphal and Tremblay",2019-05-30T09:54:42Z
956,non-volatile,Goyette Group,Koss-Abbott,2011-01-28T00:01:55Z
957,Operative,Rogahn-Bergstrom,Sipes-Hauck,2005-09-04T22:13:46Z
958,methodology,Crona Inc,Hansen-Marks,2009-07-04T20:12:38Z
959,array,"Mills, Goodwin and Blanda",Effertz Group,2006-06-24T23:14:16Z
960,encryption,Beatty-Upton,Grimes-Metz,2018-10-07T05:13:38Z
961,array,Zemlak Group,"Donnelly, Kuhn and Denesik",2006-03-17T15:00:58Z
962,open system,Beahan-Schaden,Gibson and Sons,2019-10-17T10:48:33Z
963,Pre-emptive,"Towne, Turcotte and Lebsack",Roberts-Hamill,2014-09-14T11:23:30Z
964,firmware,Rohan Group,"Spencer, Bartoletti and Abernathy",2004-12-10T04:27:38Z
965,zero administration,Dicki Inc,Blanda-Mayert,2008-09-29T12:23:20Z
966,multi-tasking,"D'Amore, Lind and Hoeger",Murphy-Abbott,2009-04-10T16:31:58Z
967,modular,Shanahan Group,"Dickens, Hessel and Hessel",2019-09-28T09:26:39Z
968,success,Marquardt-Carroll,Hintz-Smitham,2003-05-06T19:26:00Z
969,bifurcated,"Murray, Erdman and Maggio",Kuhic Group,2020-04-08T22:42:00Z
970,approach,Schuster Inc,Medhurst-Jones,2009-03-21T06:22:40Z
971,encryption,"Torphy, Ullrich and Kunze",Lang-Pagac,2000-09-20T14:58:12Z
972,asynchronous,Macejkovic and Sons,"Schroeder, Harvey and Crona",2008-04-19T07:04:12Z
973,Grass-roots,Hickle-Anderson,Huel Inc,2005-02-07T00:25:54Z
974,Switchable,"Spinka, Pfannerstill and Russel",Kirlin-Ankunding,2009-11-24T10:41:15Z
975,Secured,McGlynn-Dicki,"Fahey, Schamberger and Goldner",2020-05-13T06:15:20Z
976,encoding,"Torphy, Feil and Hegmann","Ritchie, Stark and Crist",2006-07-25T08:07:23Z
977,actuating,Dach-Feest,"Bergstrom, Hamill and Lebsack",2013-11-05T07:56:55Z
978,complexity,Kreiger and Sons,Pollich-Howell,2001-01-10T14:44:20Z
979,explicit,"Rosenbaum, Nicolas and Hansen",Schmidt Inc,2006-02-19T10:23:08Z
980,5th generation,"Price, Ryan and Wunsch",Zieme-Friesen,2016-08-23T11:55:38Z
981,projection,Buckridge-Towne,Kovacek Group,2020-02-21T13:36:29Z
982,matrices,"Lockman, Heller and Wiza","Franecki, Wolff and Mayert",2005-07-16T14:59:14Z
983,executive,"Hackett, Marks and Marks",Morissette LLC,2003-05-10T04:23:13Z
984,encompassing,Cummerata and Sons,"Hand, Cassin and MacGyver",2005-02-18T16:58:53Z
985,object-oriented,Treutel LLC,"Bashirian, Hickle and Langosh",2020-07-15T18:49:15Z
986,Optimized,"Welch, Ryan and Mann",Reinger-Leffler,2013-10-11T03:04:34Z
987,encoding,Huels Group,Huels-Bashirian,2010-11-08T21:21:40Z
988,challenge,Jakubowski and Sons,King and Sons,2000-11-11T08:19:56Z
989,zero tolerance,Wilkinson LLC,Windler-Senger,2017-11-21T19:31:09Z
990,Compatible,"Kunze, Price and Haley","Grant, Raynor and Parisian",1999-12-11T02:49:21Z
991,benchmark,Flatley Inc,"Tillman, Rogahn and Schaefer",2005-10-28T18:08:51Z
992,Multi-tiered,Turcotte-Turner,Wisozk Group,2007-01-06T15:37:12Z
993,local area network,Kulas-Wiegand,Wisoky-Littel,2020-08-16T23:35:31Z
994,Inverse,Senger-Maggio,Kilback-Altenwerth,2013-12-11T18:24:59Z
995,structure,Schmeler Group,"Hackett, Crooks and Koch",2014-11-18T20:34:16Z
996,application,"Dickinson, Bernhard and McGlynn",Lakin Inc,2018-04-21T14:09:59Z
997,Multi-channelled,Heaney LLC,Abbott and Sons,2017-03-06T21:55:38Z
998,projection,Oberbrunner and Sons,Herzog-Schmeler,2008-06-27T13:50:20Z
999,Programmable,Stoltenberg-Metz,"Walter, Hodkiewicz and Schaefer",2000-06-03T09:14:18Z
1000,Synergistic,"Braun, Kshlerin and Deckow",Huels and Sons,2018-09-15T20:24:39Z
